capability_id,kind,owner,inventory_contract,parity_e2e,status
WUI-001,WUI,M8,,,DECLARED
WUI-002,WUI,M8,,,DECLARED
WUI-003,WUI,M8,,,DECLARED
WUI-004,WUI,M8,,,DECLARED
WUI-005,WUI,M8,,,DECLARED
WUI-006,WUI,M8,,,DECLARED
WUI-007,WUI,M8,,,DECLARED
WUI-008,WUI,M8,,,DECLARED
WUI-009,WUI,M8,,,DECLARED
WUI-010,WUI,M8,,,DECLARED
WUI-011,WUI,M8,,,DECLARED
WUI-012,WUI,M8,,,DECLARED
WUI-013,WUI,M8,,,DECLARED
WUI-014,WUI,M8,,,DECLARED
WUI-015,WUI,M8,,,DECLARED
WUI-016,WUI,M8,,,DECLARED
WUI-017,WUI,M8,,,DECLARED
WUI-018,WUI,M8,,,DECLARED
WUI-019,WUI,M8,,,DECLARED
WUI-020,WUI,M8,,,DECLARED
WUI-021,WUI,M8,,,DECLARED
DSHD-001,DSHD,M2,,,DECLARED
DSHD-002,DSHD,M3,,,DECLARED
DSHD-003,DSHD,M4,,,DECLARED
DSHD-004,DSHD,M5,,,DECLARED
OUT-001,OUT,M1,,,EXCLUDED
OUT-002,OUT,M1,,,EXCLUDED
OUT-003,OUT,M1,,,EXCLUDED
OUT-004,OUT,M1,,,EXCLUDED
OUT-005,OUT,M1,,,EXCLUDED
OUT-006,OUT,M1,,,EXCLUDED
OUT-007,OUT,M1,,,EXCLUDED
OUT-008,OUT,M1,,,EXCLUDED
OUT-009,OUT,M1,,,EXCLUDED
