id,group,spec_ref,owner,driver,status,evidence
ID-01,ID,central-dshd-conformance.md/ID,M2,id-01-driver,EXECUTABLE,m2-local
ID-02,ID,central-dshd-conformance.md/ID,M2,id-02-driver,EXECUTABLE,m2-local
ID-03,ID,central-dshd-conformance.md/ID,M1,id-03-driver,DECLARED,
ID-04,ID,central-dshd-conformance.md/ID,M1,id-04-driver,DECLARED,
CF-01,CF,central-dshd-conformance.md/CF,M2,cf-01-driver,EXECUTABLE,m2-local
CF-02,CF,central-dshd-conformance.md/CF,M1,cf-02-driver,DECLARED,
CF-03,CF,central-dshd-conformance.md/CF,M1,cf-03-driver,DECLARED,
CF-04,CF,central-dshd-conformance.md/CF,M1,cf-04-driver,DECLARED,
ST-01,ST,central-dshd-conformance.md/ST,M1,st-01-driver,DECLARED,
ST-02,ST,central-dshd-conformance.md/ST,M1,st-02-driver,DECLARED,
ST-03,ST,central-dshd-conformance.md/ST,M1,st-03-driver,DECLARED,
ST-04,ST,central-dshd-conformance.md/ST,M1,st-04-driver,DECLARED,
ST-05,ST,central-dshd-conformance.md/ST,M1,st-05-driver,DECLARED,
ST-06,ST,central-dshd-conformance.md/ST,M2,st-06-driver,EXECUTABLE,m2-local
ST-07,ST,central-dshd-conformance.md/ST,M1,st-07-driver,DECLARED,
ST-08,ST,central-dshd-conformance.md/ST,M1,st-08-driver,DECLARED,
ST-09,ST,central-dshd-conformance.md/ST,M1,st-09-driver,DECLARED,
ST-10,ST,central-dshd-conformance.md/ST,M1,st-10-driver,DECLARED,
ST-11,ST,central-dshd-conformance.md/ST,M1,st-11-driver,DECLARED,
ST-12,ST,central-dshd-conformance.md/ST,M1,st-12-driver,DECLARED,
ST-13,ST,central-dshd-conformance.md/ST,M1,st-13-driver,DECLARED,
ST-14,ST,central-dshd-conformance.md/ST,M1,st-14-driver,DECLARED,
PX-01,PX,central-dshd-conformance.md/PX,M1,px-01-driver,DECLARED,
PX-02,PX,central-dshd-conformance.md/PX,M1,px-02-driver,DECLARED,
PX-03,PX,central-dshd-conformance.md/PX,M1,px-03-driver,DECLARED,
PX-04,PX,central-dshd-conformance.md/PX,M1,px-04-driver,DECLARED,
PX-05,PX,central-dshd-conformance.md/PX,M1,px-05-driver,DECLARED,
PX-06,PX,central-dshd-conformance.md/PX,M1,px-06-driver,DECLARED,
PX-07,PX,central-dshd-conformance.md/PX,M1,px-07-driver,DECLARED,
PX-08,PX,central-dshd-conformance.md/PX,M1,px-08-driver,DECLARED,
PX-09,PX,central-dshd-conformance.md/PX,M1,px-09-driver,DECLARED,
PX-10,PX,central-dshd-conformance.md/PX,M1,px-10-driver,DECLARED,
PX-11,PX,central-dshd-conformance.md/PX,M1,px-11-driver,DECLARED,
PX-12,PX,central-dshd-conformance.md/PX,M1,px-12-driver,DECLARED,
PX-13,PX,central-dshd-conformance.md/PX,M1,px-13-driver,DECLARED,
SR-01,SR,central-dshd-conformance.md/SR,M1,sr-01-driver,DECLARED,
SR-02,SR,central-dshd-conformance.md/SR,M1,sr-02-driver,DECLARED,
SR-03,SR,central-dshd-conformance.md/SR,M1,sr-03-driver,DECLARED,
SR-04,SR,central-dshd-conformance.md/SR,M1,sr-04-driver,DECLARED,
SR-05,SR,central-dshd-conformance.md/SR,M1,sr-05-driver,DECLARED,
SR-06,SR,central-dshd-conformance.md/SR,M1,sr-06-driver,DECLARED,
SR-07,SR,central-dshd-conformance.md/SR,M1,sr-07-driver,DECLARED,
SR-08,SR,central-dshd-conformance.md/SR,M1,sr-08-driver,DECLARED,
SR-09,SR,central-dshd-conformance.md/SR,M1,sr-09-driver,DECLARED,
SR-10,SR,central-dshd-conformance.md/SR,M1,sr-10-driver,DECLARED,
SR-11,SR,central-dshd-conformance.md/SR,M1,sr-11-driver,DECLARED,
SR-12,SR,central-dshd-conformance.md/SR,M1,sr-12-driver,DECLARED,
SR-13,SR,central-dshd-conformance.md/SR,M1,sr-13-driver,DECLARED,
CT-01,CT,central-dshd-conformance.md/CT,M1,ct-01-driver,DECLARED,
CT-02,CT,central-dshd-conformance.md/CT,M1,ct-02-driver,DECLARED,
CT-03,CT,central-dshd-conformance.md/CT,M1,ct-03-driver,DECLARED,
CT-04,CT,central-dshd-conformance.md/CT,M1,ct-04-driver,DECLARED,
CT-05,CT,central-dshd-conformance.md/CT,M1,ct-05-driver,DECLARED,
CT-06,CT,central-dshd-conformance.md/CT,M1,ct-06-driver,DECLARED,
CT-07,CT,central-dshd-conformance.md/CT,M1,ct-07-driver,DECLARED,
CT-08,CT,central-dshd-conformance.md/CT,M1,ct-08-driver,DECLARED,
CT-09,CT,central-dshd-conformance.md/CT,M1,ct-09-driver,DECLARED,
CT-10,CT,central-dshd-conformance.md/CT,M1,ct-10-driver,DECLARED,
CT-11,CT,central-dshd-conformance.md/CT,M1,ct-11-driver,DECLARED,
CT-12,CT,central-dshd-conformance.md/CT,M1,ct-12-driver,DECLARED,
CT-13,CT,central-dshd-conformance.md/CT,M1,ct-13-driver,DECLARED,
CT-14,CT,central-dshd-conformance.md/CT,M1,ct-14-driver,DECLARED,
CT-15,CT,central-dshd-conformance.md/CT,M1,ct-15-driver,DECLARED,
PV-01,PV,central-dshd-conformance.md/PV,M1,pv-01-driver,DECLARED,
PV-02,PV,central-dshd-conformance.md/PV,M1,pv-02-driver,DECLARED,
PV-03,PV,central-dshd-conformance.md/PV,M1,pv-03-driver,DECLARED,
